Frequency [Hz],Amplitude [V/nT],phase [degrees]
0.0888499294,0.3364262801,69.5019424239
0.0909195101,0.3433634054,69.0597812468
0.0930372975,0.3504054905,68.6096018181
0.0952044146,0.3575517514,68.1513540107
0.0974220103,0.3648012375,67.6849935608
0.0996912604,0.3721528245,67.2104824462
0.1020133682,0.3796052073,66.7277892685
0.1043895648,0.3871568938,66.2368896384
0.1068211101,0.394806198,65.7377665623
0.1093092934,0.4025512347,65.2304108286
0.1118554339,0.4103899131,64.7148213902
0.1144608817,0.4183199324,64.1910057434
0.1171270181,0.426338777,63.6589802987
0.1198552569,0.4344437122,63.118770742
0.1226470444,0.4426317817,62.5704123837
0.1255038611,0.450899804,62.0139504921
0.1284272216,0.459244372,61.4494406089
0.1314186758,0.4676618512,60.8769488437
0.13447981,0.4761483803,60.2965521435
0.1376122472,0.4846998724,59.7083385359
0.1408176482,0.4933120176,59.1124073405
0.1440977126,0.5019802858,58.5088693474
0.1474541795,0.5106999321,57.8978469587
0.1508888286,0.5194660024,57.279474289
0.1544034809,0.528273,56.6538972248
0.158,0.5371165969,56.0212734364
0.1616802928,0.5459902384,55.3817723425
0.1654463106,0.5548885593,54.7355750242
0.1693000502,0.563805694,54.0828740859
0.173243555,0.5727356303,53.423873462
0.1772789158,0.581672225,52.7587881683
0.1814082722,0.5906092193,52.0878439954
0.1856338137,0.5995402567,51.4112771469
0.1899577807,0.608458901,50.7293338185
0.1943824658,0.6173586554,50.0422697216
0.1989102151,0.6262329827,49.3503495506
0.2035434292,0.6350753261,48.6538463962
0.2082845647,0.6438791303,47.9530411062
0.2131361354,0.6526378635,47.2482215975
0.2181007138,0.661345039,46.5396821206
0.2231809321,0.6699942377,45.8277224818
0.2283794838,0.6785791297,45.1126472266
0.2336991253,0.6870934964,44.3947647888
0.2391426773,0.6955312518,43.6743866096
0.2447130258,0.7038864632,42.9518262332
0.2504131244,0.7121533713,42.2273983837
0.2562459954,0.7203264096,41.5014180283
0.2622147314,0.7284002222,40.7741994341
0.2683224971,0.7363696808,40.0460552235
0.2745725309,0.7442299007,39.3172954346
0.2809681468,0.7519762548,38.5882265917
0.2875127357,0.7596043861,37.8591507932
0.2942097676,0.7671102192,37.1303648205
0.3010627934,0.7744899697,36.4021592754
0.3080754468,0.781740152,35.6748177482
0.3152514458,0.788857585,34.9486160246
0.3225945953,0.7958393972,34.2238213318
0.3301087887,0.8026830287,33.5006916305
0.3377980101,0.8093862323,32.7794749547
0.3456663366,0.815947073,32.0604088018
0.3537179399,0.8223639256,31.3437195754
0.3619570891,0.8286354709,30.6296220836
0.3703881528,0.8347606905,29.9183190912
0.3790156012,0.8407388604,29.2100009299
0.3878440087,0.8465695431,28.5048451627
0.3968780562,0.8522525788,27.803016306
0.4061225337,0.8577880754,27.1046656054
0.4155823427,0.863176398,26.4099308658
0.425262499,0.8684181573,25.7189363329
0.4351681351,0.8735141974,25.0317926255
0.4453045031,0.878465583,24.348596715
0.4556769775,0.8832735866,23.6694319499
0.4662910578,0.8879396751,22.9943681237
0.4771523718,0.8924654961,22.3234615809
0.4882666783,0.8968528644,21.6567553607
0.4996398703,0.9011037481,20.9942793727
0.5090689,0.9108024,21.33019
0.5203457,0.9139432,20.71062
0.5318724,0.9170947,20.09104
0.5436544,0.9202572,19.47146
0.5556974,0.9234304,18.85188
0.5680072,0.9266148,18.23231
0.5805896,0.92981,17.61273
0.5934508,0.9330162,16.99315
0.6065969,0.9362336,16.37358
0.6200342,0.9388321,15.84075
0.6337691,0.9412767,15.33005
0.6478083,0.9437277,14.81935
0.6621585,0.9461851,14.30865
0.6768266,0.9486489,13.79795
0.6918196,0.9511191,13.28725
0.7071447,0.9535957,12.77654
0.7228094,0.9560788,12.26585
0.738821,0.9585683,11.75514
0.7551873,0.9603396,11.20667
0.7719162,0.9619792,10.65115
0.7890155,0.9636214,10.09564
0.8064938,0.9652665,9.540127
0.8243592,0.9669145,8.984613
0.8426203,0.9685651,8.429101
0.8612859,0.9702187,7.873587
0.8803651,0.9718751,7.318074
0.8998669,0.9735343,6.762561
0.9198006,0.9749178,6.264926
0.940176,0.9762687,5.774493
0.9610027,0.9776214,5.28406
0.9822907,0.978976,4.793628
1.00405,0.9803325,4.303195
1.026292,0.9816908,3.812762
1.049026,0.9830511,3.32233
1.072264,0.9844131,2.831897
1.096017,0.9857771,2.341464
1.120296,0.9864491,1.852438
1.145113,0.9870736,1.363509
1.170479,0.9876986,0.8745796
1.196407,0.9883239,0.3856504
1.22291,0.9889497,-0.1032789
1.25,0.9895757,-0.5922081
1.27769,0.9902022,-1.081137
1.305993,0.9908292,-1.570067
1.334924,0.9914566,-2.058996
1.364495,0.9922718,-2.592279
1.394721,0.9930911,-3.12638
1.425617,0.9939112,-3.660481
